dest_npa_data_fv_stats_view__dti,dest_npa_data_fv_stats_view__term,dest_npa_data_fv_stats_view__grade,dest_npa_data_fv_stats_view__purpose,dest_npa_data_fv_stats_view__int_rate,dest_npa_data_fv_stats_view__zip_code,dest_npa_data_fv_stats_view__loan_amnt,dest_npa_data_fv_stats_view__sub_grade,dest_npa_data_fv_stats_view__total_acc,dest_npa_data_fv_stats_view__addr_state,dest_npa_data_fv_stats_view__annual_inc,dest_npa_data_fv_stats_view__recoveries,dest_npa_data_fv_stats_view__revol_util,dest_npa_data_fv_stats_view__tot_cur_bal,dest_npa_data_fv_stats_view__tot_coll_amt,dest_npa_data_fv_stats_view__last_week_pay,dest_npa_data_fv_stats_view__total_rec_int,dest_npa_data_fv_stats_view__batch_enrolled,dest_npa_data_fv_stats_view__home_ownership,dest_npa_data_fv_stats_view__total_rev_hi_lim,dest_npa_data_fv_stats_view__initial_list_status
28.53,36 months,D,medical,17.57,225xx,1600,D4,30,VA,48000.0,0.0,60.5,186034.0,0.0,26th week,129.81, ,MORTGAGE,34100.0,w
7.42,36 months,C,other,12.05,912xx,15000,C1,28,CA,174000.0,0.0,59.1,17465.0,0.0,4th week,130.54,BAT2803411,MORTGAGE,17300.0,w
22.32,36 months,B,debt_consolidation,11.53,220xx,15000,B5,16,VA,89000.0,0.0,94.2,40220.0,0.0,31th week,912.94,BAT1184694,RENT,20000.0,f
27.13,36 months,B,debt_consolidation,13.11,786xx,10000,B4,17,TX,49500.0,0.0,57.8,53137.0,0.0,104th week,1880.92,BAT5341619,RENT,10900.0,w
18.91,60 months,C,house,12.29,430xx,13500,C1,29,OH,79534.0,0.0,88.9,249342.0,0.0,39th week,1173.2, ,MORTGAGE,39300.0,w
26.52,36 months,C,debt_consolidation,12.99,191xx,10000,C1,27,PA,39000.0,0.0,68.7,185444.0,0.0,65th week,1351.26,BAT2003848,MORTGAGE,17000.0,f
18.53,60 months,C,debt_consolidation,13.66,362xx,13000,C3,20,AL,80000.0,0.0,81.2,52815.0,0.0,52th week,1647.11,BAT4694572,MORTGAGE,24000.0,w
21.46,60 months,C,credit_card,12.99,548xx,20000,C1,54,WI,75000.0,0.0,43.4,266563.0,0.0,83th week,3643.8, ,MORTGAGE,50200.0,f
13.85,60 months,F,debt_consolidation,23.99,926xx,11500,F2,24,CA,27600.0,0.0,31.4,9151.0,0.0,18th week,892.03, ,OWN,13200.0,f
12.4,36 months,C,debt_consolidation,12.29,480xx,3000,C1,16,MI,17232.0,0.0,19.3,3049.0,0.0,22th week,154.64,BAT3873588,RENT,15800.0,w
9.17,36 months,C,debt_consolidation,16.29,769xx,13000,C4,14,TX,36000.0,0.0,75.7,8478.0,0.0,148th week,3500.2, ,RENT,11200.0,f
21.65,36 months,D,debt_consolidation,17.86,070xx,8000,D5,12,NJ,47000.0,0.0,51.2,26897.0,0.0,56th week,1383.38, ,OWN,11400.0,f
21.46,36 months,B,debt_consolidation,14.09,483xx,10225,B5,32,MI,43616.0,0.0,73.5,139554.110791886,213.562221669413,135th week,2314.35,BAT3943761,RENT,32080.5729185358,f
18.58,36 months,G,other,25.83,757xx,17025,G2,26,TX,52000.0,0.0,55.9,34792.0,0.0,70th week,4953.58, ,RENT,17700.0,f
6.19,60 months,B,debt_consolidation,12.49,029xx,20000,B5,10,RI,70000.0,0.0,64.2,16511.0,0.0,70th week,3013.62,BAT2333412,RENT,11500.0,w
11.65,36 months,B,credit_card,9.17,076xx,21000,B2,20,NJ,65000.0,0.0,53.4,16436.0,0.0,17th week,597.04,BAT4271519,OWN,12900.0,w
14.51,36 months,A,debt_consolidation,5.32,773xx,10000,A1,22,TX,80000.0,0.0,15.3,138800.0,0.0,NAth week,0.0,BAT2803411,MORTGAGE,113300.0,w
25.27,60 months,C,debt_consolidation,13.66,930xx,12000,C3,26,CA,83146.0,0.0,27.7,87848.0,100.0,52th week,1511.31,BAT4694572,RENT,35400.0,f
12.65,36 months,A,debt_consolidation,7.89,206xx,25000,A5,31,MD,93000.0,0.0,33.5,448973.0,0.0,22th week,759.07, ,MORTGAGE,36300.0,w
5.09,60 months,C,credit_card,13.99,342xx,15000,C4,21,FL,95000.0,0.0,53.0,10073.0,0.0,NAth week,0.0,BAT2803411,OWN,19000.0,w
23.04,36 months,B,debt_consolidation,11.14,105xx,21725,B2,17,NY,72000.0,0.0,41.0,205444.0,3910.0,92th week,3217.91,BAT2428731,MORTGAGE,33000.0,f
14.51,36 months,B,debt_consolidation,12.99,782xx,12000,B4,18,TX,86460.0,0.0,87.5,231625.0,0.0,117th week,2363.66,BAT4351734,MORTGAGE,35900.0,f
